"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
     End-to-End test: Add multiple items to cart, remove one, and complete checkout
     ","6904","test_e2e_remove_item_and_checkout[chromium]","tests.ui","Tue Jul 15 20:01:07 GMT 2025","passed","Tue Jul 15 20:01:14 GMT 2025","","test_e2e_remove_item","",""
"","4127","test_login_locked_out_user[chromium]","tests.ui","Tue Jul 15 20:01:15 GMT 2025","passed","Tue Jul 15 20:01:19 GMT 2025","","test_login_negative","",""
"","188","test_create_user_with_faker","tests.api","Tue Jul 15 20:00:38 GMT 2025","passed","Tue Jul 15 20:00:39 GMT 2025","","test_create_user_with_faker","",""
"","198","test_delete_user_not_found","tests.api","Tue Jul 15 20:00:39 GMT 2025","passed","Tue Jul 15 20:00:39 GMT 2025","","test_delete_user_not_found","",""
"","3189","test_get_users_with_delay","tests.api","Tue Jul 15 20:00:40 GMT 2025","passed","Tue Jul 15 20:00:43 GMT 2025","","test_get_users_with_delay","",""
"","278","test_create_user","tests.api","Tue Jul 15 20:00:38 GMT 2025","passed","Tue Jul 15 20:00:38 GMT 2025","","test_create_user","",""
"","3440","test_login_visual_user_success[chromium]","tests.ui","Tue Jul 15 20:01:43 GMT 2025","passed","Tue Jul 15 20:01:46 GMT 2025","","test_login_positive","",""
"","48","test_get_users_page_2","tests.api","Tue Jul 15 20:00:40 GMT 2025","passed","Tue Jul 15 20:00:40 GMT 2025","","test_get_users_page_2","",""
"","43","test_get_users_page_1","tests.api","Tue Jul 15 20:00:39 GMT 2025","passed","Tue Jul 15 20:00:40 GMT 2025","","test_get_users_page_1","",""
"","3642","test_login_problem_user_success[chromium]","tests.ui","Tue Jul 15 20:01:29 GMT 2025","passed","Tue Jul 15 20:01:33 GMT 2025","","test_login_positive","",""
"","3632","test_login_empty_username_and_password[chromium-standard_user--Epic sadface: Password is required]","tests.ui","Tue Jul 15 20:01:47 GMT 2025","passed","Tue Jul 15 20:01:50 GMT 2025","","test_login_negative","",""
"","188","test_update_user_not_found","tests.api","Tue Jul 15 20:00:44 GMT 2025","passed","Tue Jul 15 20:00:44 GMT 2025","","test_update_user_not_found","",""
"","194","test_login_failure_missing_password","tests.api","Tue Jul 15 20:00:43 GMT 2025","passed","Tue Jul 15 20:00:43 GMT 2025","","test_login_failure","",""
"","2274","test_login_empty_username_and_password[chromium--secret_sauce-Epic sadface: Username is required]","tests.ui","Tue Jul 15 20:01:22 GMT 2025","passed","Tue Jul 15 20:01:25 GMT 2025","","test_login_negative","",""
"","44","test_get_resource_list","tests.api","Tue Jul 15 20:00:39 GMT 2025","passed","Tue Jul 15 20:00:39 GMT 2025","","test_get_resource_list","",""
"","49","test_get_single_resource","tests.api","Tue Jul 15 20:00:39 GMT 2025","passed","Tue Jul 15 20:00:39 GMT 2025","","test_get_single_resource","",""
"","2190","test_login_invalid_username[chromium]","tests.ui","Tue Jul 15 20:01:20 GMT 2025","passed","Tue Jul 15 20:01:22 GMT 2025","","test_login_negative","",""
"","188","test_register_success","tests.api","Tue Jul 15 20:00:44 GMT 2025","passed","Tue Jul 15 20:00:44 GMT 2025","","test_register_success","",""
"","204","test_patch_user","tests.api","Tue Jul 15 20:00:43 GMT 2025","passed","Tue Jul 15 20:00:43 GMT 2025","","test_patch_user","",""
"","9677","test_login_performance_glitch_user_success[chromium]","tests.ui","Tue Jul 15 20:01:33 GMT 2025","passed","Tue Jul 15 20:01:43 GMT 2025","","test_login_positive","",""
"","220","test_update_user","tests.api","Tue Jul 15 20:00:44 GMT 2025","passed","Tue Jul 15 20:00:44 GMT 2025","","test_update_user","",""
"","201","test_register_failure_missing_password","tests.api","Tue Jul 15 20:00:43 GMT 2025","passed","Tue Jul 15 20:00:44 GMT 2025","","test_register_failure","",""
"","196","test_delete_user","tests.api","Tue Jul 15 20:00:39 GMT 2025","passed","Tue Jul 15 20:00:39 GMT 2025","","test_delete_user","",""
"","232","test_login_success","tests.api","Tue Jul 15 20:00:43 GMT 2025","passed","Tue Jul 15 20:00:43 GMT 2025","","test_login_success","",""
"
        End-to-End test: Add multiple items to the cart and complete checkout.
     ","7000","test_e2e_add_to_cart_and_checkout[chromium]","tests.ui","Tue Jul 15 20:00:56 GMT 2025","passed","Tue Jul 15 20:01:03 GMT 2025","","test_e2e_buy_items","",""
"","3641","test_login_standard_user_success[chromium]","tests.ui","Tue Jul 15 20:01:25 GMT 2025","passed","Tue Jul 15 20:01:29 GMT 2025","","test_login_positive","",""
"","199","test_get_user_not_found","tests.api","Tue Jul 15 20:00:39 GMT 2025","passed","Tue Jul 15 20:00:39 GMT 2025","","test_get_user_not_found","",""
"","200","test_get_user_by_id","tests.api","Tue Jul 15 20:00:39 GMT 2025","passed","Tue Jul 15 20:00:39 GMT 2025","","test_get_user_by_id","",""
